ticker,month,label,unit,truth,n_matching_labels,split,announcement_id
PCI,2026-04,at close of business on nta per unit,dollars,1.096,1,holdout,03089389
SET,2026-04,at estimated nta per share pre tax nta,dollars,1.951,1,learn,03089099
GLS,2026-04,nta backings per ordinary share nta before tax,dollars,1.6668,1,learn,03087476
NCC,2026-04,return fy fy fy fy,dollars,0.41,1,holdout,03081732
MXT,2026-04,is as follows value date nta per unit,dollars,2.0009,1,learn,03081565
GCI,2026-04,on nta per unit as at,dollars,2.0064,1,learn,03081008
PCI,2026-04,at close of business on nta per unit,dollars,1.096,1,holdout,03080928
PCI,2026-04,at close of business on nta per unit,dollars,1.096,1,holdout,03079821
MXT,2026-04,is as follows value date nta per unit,dollars,2.0009,1,learn,03079863
CAM,2026-03,australian securities exchange cam unaudited end month pre tax nta,cents,0.8025,3,holdout,03078503
CAM,2026-03,the close of business nta before tax,cents,0.8025,3,holdout,03078503
CAM,2026-03,nta before tax,cents,0.8025,3,holdout,03078503
OPH,2026-03,prior value date nav per unit month end,dollars,2.8304,1,learn,03078394
PIC,2026-03,ordinary share nta before tax nta after tax,dollars,1.135,2,learn,03077430
PIC,2026-03,nta after tax,dollars,1.135,2,learn,03077430
REV,2026-03,is as follows value date nta per unit,dollars,2.0133,1,learn,03075746
MOT,2026-03,is as follows value date nta per unit,dollars,2.1581,1,learn,03071887
MIR,2026-03,mir share price asx closing price on,dollars,2.72,1,learn,03070171
AMH,2026-03,before tax after tax ex div,dollars,1.02,1,learn,03068569
PGF,2026-02,nta before tax accruals,dollars,2.9101,2,learn,03067227
PGF,2026-02,share gross dividend yield nta before tax accruals,dollars,2.9101,2,learn,03067227
BKI,2026-02,per share as at below pre tax nta,dollars,2.05,1,holdout,03067142
OPH,2026-02,prior value date nav per unit month end,dollars,3.2235,1,learn,03067123
MXT,2026-02,is as follows value date nta per unit,dollars,2.0002,1,learn,03066628
REV,2026-02,please contact revolution private credit income trust on,dollars,2.0,1,learn,03061722
SEC,2026-02,at estimated nta per share pre tax nta,dollars,2.524,1,holdout,03060261
CD2,2026-02,unit fund inception last months since inception return,dollars,0.67,2,learn,03060022
CD2,2026-02,nta value after tax as at was,dollars,0.67,2,learn,03060022
GCI,2026-02,on nta per unit as at,dollars,2.0089,1,learn,03058709
GCI,2026-02,on nta per unit as at,dollars,2.0089,1,learn,03058258
SEC,2026-02,at estimated nta per share pre tax nta,dollars,2.524,1,holdout,03058205
PIA,2026-02,tax on unrealised gains losses nta value after tax,cents,1.3345,1,holdout,03057058
RG1,2026-01,share for regal partners global investments limited was,dollars,2.71,1,learn,03055570
RF1,2026-01,nav per unit of regal investment fund was,dollars,3.75,1,learn,03055539
MXT,2026-01,is as follows value date nta per unit,dollars,2.0136,1,learn,03053524
ARG,2026-01,and approximate pre tax nta per share,dollars,10.54,1,learn,03052988
PCI,2026-01,at close of business on nta per unit,dollars,1.099,1,holdout,03050497
CAM,2026-01,nta before tax,dollars,0.795,2,holdout,03049480
CAM,2026-01,share price nta before tax,dollars,0.795,2,holdout,03049480
PCI,2026-01,at close of business on nta per unit,dollars,1.099,1,holdout,03047870
GCI,2026-01,on nta per unit as at,dollars,2.01,1,learn,03047479
GCI,2026-01,on nta per unit as at,dollars,2.01,1,learn,03047039
DUI,2025-12,is as below weekly pre tax nta per share,dollars,6.38,1,holdout,03041549
AFI,2025-12,share as at pre tax nta per share,dollars,7.9,2,learn,03041087
AFI,2025-12,pre tax nta per share,dollars,7.9,2,learn,03041087
CAM,2025-12,nta before tax,dollars,0.8,2,holdout,03040567
CAM,2025-12,share price nta before tax,dollars,0.8,2,holdout,03040567
ARG,2025-12,approximate n ovember pre tax nta per share,dollars,10.34,1,learn,03038375
AFI,2025-12,share as at pre tax nta per share,dollars,7.9,2,learn,03038247
AFI,2025-12,pre tax nta per share,dollars,7.9,2,learn,03038247
ARG,2025-11,approximate n ovember pre tax nta per share,dollars,10.35,1,learn,03034763
MFF,2025-11,monthly nta per share as at was,dollars,5.298,1,learn,03035040
GCI,2025-11,on nta per unit as at,dollars,2.0207,1,learn,03034071
GCI,2025-11,on nta per unit as at,dollars,2.0207,1,learn,03033243
GCI,2025-11,on nta per unit as at,dollars,2.0207,1,learn,03032438
REV,2025-11,please contact revolution private credit income trust on,dollars,2.0012,1,learn,03023792
AMH,2025-11,share as at pre tax nta per share,dollars,1.16,2,learn,03023080
AMH,2025-11,pre tax nta per share,dollars,1.16,2,learn,03023080
8IH,2025-11,per share as of is s a,dollars,0.0456,1,learn,03022632
SEC,2025-11,at estimated nta per share pre tax nta,dollars,2.653,1,holdout,03022446
QRI,2025-11,is as follows value date nta per unit,dollars,1.6007,1,holdout,03021898
TCF,2025-11,price unit nav commercial unit price unit nav,dollars,5.936,1,learn,03021757
PCI,2025-11,at close of business on nta per unit,dollars,1.097,1,holdout,03021177
SEC,2025-10,at estimated nta per share pre tax nta,dollars,2.699,1,holdout,03018672
PIC,2025-10,was nta per ordinary share nta before tax,dollars,1.278,2,learn,03014562
PIC,2025-10,nta before tax,dollars,1.278,2,learn,03014562
GCI,2025-10,return rba cash rate p a nta unit m,dollars,2.0102,1,learn,03012382
MXT,2025-10,is as follows value date nta per unit,dollars,2.0004,1,learn,03008948
SEC,2025-10,at estimated nta per share pre tax nta,dollars,2.699,1,holdout,03008467
NAC,2025-10,share price of holdings since inception dividend yield,dollars,0.75,1,holdout,03007942
MXT,2025-10,is as follows value date nta per unit,dollars,2.0004,1,learn,03007137
SEC,2025-10,as at nta per share pre tax nta,dollars,2.699,1,holdout,03006474
GCI,2025-10,on nta per unit as at,dollars,2.0102,1,learn,03005217
GCI,2025-09,on nta per unit as at,dollars,2.0105,1,learn,03003842
PCI,2025-09,at close of business on nta per unit,dollars,1.096,1,holdout,03003939
PCI,2025-09,at close of business on nta per unit,dollars,1.096,1,holdout,03003932
MOT,2025-09,is as follows value date nta per unit,dollars,2.1485,1,learn,03003953
PIC,2025-09,was nta per ordinary share nta before tax,dollars,1.276,2,learn,03001007
PIC,2025-09,nta before tax,dollars,1.276,2,learn,03001007
QRI,2025-09,asx qri performance update unit m m,dollars,1.5997,1,holdout,02996156
GCI,2025-09,on nta per unit as at,dollars,2.0105,1,learn,02994096
NSC,2025-09,share price of holdings since inception dividend yield,dollars,0.42,1,holdout,02993867
MOT,2025-09,is as follows value date nta per unit,dollars,2.1485,1,learn,02993605
MXT,2025-09,is as follows value date nta per unit,dollars,2.0002,1,learn,02991745
MXT,2025-09,is as follows value date nta per unit,dollars,2.0002,1,learn,02991184
MOT,2025-09,is as follows value date nta per unit,dollars,2.1485,1,learn,02990659
PCI,2025-09,at close of business on nta per unit,dollars,1.096,1,holdout,02990610
MOT,2025-09,is as follows value date nta per unit,dollars,2.1485,1,learn,02990168
MOT,2025-08,is as follows value date nta per unit,dollars,2.1467,1,learn,02989768
WQG,2025-08,below net tangible assets nta before tax,dollars,2.085,2,learn,02989865
WQG,2025-08,nta before tax,dollars,2.085,2,learn,02989865
RYD,2025-08,month and closing pre tax nta per share of,dollars,1.9634,2,holdout,02989349
RYD,2025-08,nsw level phillip st sydney nsw t abn,cents,1.9634,2,holdout,02989349
HM1,2025-08,pre tax nta post current tax nta,dollars,3.89,1,learn,02984615
HM1,2025-08,investment update at investment objective pre tax nta,dollars,3.89,1,learn,02980355
MOT,2025-08,is as follows value date nta per unit,dollars,2.1467,1,learn,02980066
MOT,2025-08,is as follows value date nta per unit,dollars,2.1467,1,learn,02978543
SB2,2025-08,pre tax post tax dividends sb investment report,dollars,1.061,1,learn,02978377
PCI,2025-08,at close of business on nta per unit,dollars,1.096,1,holdout,02977561
PCI,2025-08,at close of business on nta per unit,dollars,1.096,1,holdout,02977206
PCI,2025-08,at close of business on nta per unit,dollars,1.096,1,holdout,02976895
DN1,2025-07,previously announced on has been amended to,dollars,100.26,1,learn,02972804
GCI,2025-07,on nta per unit as at,dollars,2.0095,1,learn,02969454
LSF,2025-07,were nta per ordinary share nta before tax,dollars,3.3228,1,learn,02967982
PCI,2025-07,at close of business on nta per unit,dollars,1.096,1,holdout,02967273
MXT,2025-07,is as follows value date nta per unit,dollars,2.0001,1,learn,02966353
PIC,2025-06,was nta per ordinary share nta before tax,dollars,1.289,2,learn,02964595
PIC,2025-06,nta before tax,dollars,1.289,2,learn,02964595
PMC,2025-06,pre tax nta per share as at was,dollars,1.5151,1,learn,02961479
PCI,2025-06,at close of business on nta per unit,dollars,1.096,1,holdout,02958780
QRI,2025-06,is as follows value date nta per unit,dollars,1.6009,1,holdout,02955295
HCF,2025-06,deferred tax nta per share after all taxes,dollars,0.028,1,holdout,02955139
DN1,2025-06,per unit of the dominion income trust was,dollars,100.26,1,learn,02954761
AFI,2025-05,share as at pre tax nta per share,dollars,8.23,2,learn,02954316
AFI,2025-05,pre tax nta per share,dollars,8.23,2,learn,02954316
HM1,2025-05,nta per share pre tax nta,dollars,3.54,1,learn,02949409
PCI,2025-05,at close of business on nta per unit,dollars,1.095,1,holdout,02948714
TGF,2025-05,sydney nsw australia raffles place singapore abn t,dollars,2.0036,2,holdout,02947362
TGF,2025-05,at tgfinvestors tribecaip com au or by calling,dollars,2.0036,2,holdout,02947362
WAA,2025-05,us president donald trump s announcement of a,cents,0.8999,1,holdout,02947341
MXT,2025-05,is as follows value date nta per unit,dollars,2.0002,1,learn,02946512
AMH,2025-04,as at before tax after tax,dollars,1.21,1,learn,02944183
MIR,2025-04,at before tax after tax,dollars,3.1236,1,learn,02943966
MXT,2025-04,is as follows value date nta per unit,dollars,2.0133,1,learn,02943461
MXT,2025-04,is as follows value date nta per unit,dollars,2.0133,1,learn,02940398
KKC,2025-04,end of day us time current nta estimate,dollars,2.4183,4,learn,02939792
KKC,2025-04,time current nta estimate previous nta estimate,dollars,2.4183,4,learn,02939792
KKC,2025-04,current nta estimate,dollars,2.4183,4,learn,02939792
KKC,2025-04,previous nta estimate,dollars,2.4183,4,learn,02939792
PCI,2025-04,at close of business on nta per unit,dollars,1.091,1,holdout,02936772
MOT,2025-03,is as follows value date nta per unit,dollars,2.1412,1,learn,02932981
NAC,2025-03,asx nac naos ex opportunities company limited abn,cents,0.49,1,holdout,02925105
MXT,2025-03,is as follows value date nta per unit,dollars,2.0002,1,learn,02924389
GCI,2025-03,on nta per unit as at,dollars,2.013,1,learn,02923907
MOT,2025-03,is as follows value date nta per unit,dollars,2.1412,1,learn,02923392
GCI,2025-03,on nta per unit as at,dollars,2.013,1,learn,02921839
LSF,2025-03,ordinary share nta before tax nta after tax,dollars,2.8857,2,learn,02921563
LSF,2025-03,nta after tax,dollars,2.8857,2,learn,02921563
MXT,2025-02,is as follows value date nta per unit,dollars,2.0002,1,learn,02919365
GCI,2025-02,governor macquarie tower farrer place sydney nsw p,dollars,2.0027,2,learn,02915587
GCI,2025-02,macquarie tower farrer place sydney nsw p f,dollars,2.0027,2,learn,02915587
GCI,2025-02,governor macquarie tower farrer place sydney nsw p,dollars,2.0027,2,learn,02913987
GCI,2025-02,macquarie tower farrer place sydney nsw p f,dollars,2.0027,2,learn,02913987
WHF,2025-02,latest month end was as follows csl csl limited,dollars,6.31,1,holdout,02913945
8IH,2025-02,a based on a s pre tax and s,dollars,0.0382,1,learn,02913629
NSC,2025-02,abn monthly nta and portfolio update as at,cents,0.31,2,holdout,02913325
NSC,2025-02,full year dividend of cents per share and the,cents,0.31,2,holdout,02913325
GCI,2025-02,governor macquarie tower farrer place sydney nsw p,dollars,2.0027,2,learn,02913063
GCI,2025-02,macquarie tower farrer place sydney nsw p f,dollars,2.0027,2,learn,02913063
GCI,2025-02,governor macquarie tower farrer place sydney nsw p,dollars,2.0027,2,learn,02912071
GCI,2025-02,macquarie tower farrer place sydney nsw p f,dollars,2.0027,2,learn,02912071
GCI,2025-02,governor macquarie tower farrer place sydney nsw p,dollars,2.0027,2,learn,02911161
GCI,2025-02,macquarie tower farrer place sydney nsw p f,dollars,2.0027,2,learn,02911161
PCI,2025-02,at close of business on nta per unit,dollars,1.1,1,holdout,02910296
PCI,2025-01,at close of business on nta per unit,dollars,1.1,1,holdout,02909454
VG1,2025-01,share for vgi partners global investments limited was,dollars,2.16,1,learn,02907383
SB2,2025-01,tax nta share price discount premium to nta,dollars,1.128,1,learn,02903547
PCI,2025-01,at close of business on nta per unit,dollars,1.1,1,holdout,02903437
PCI,2025-01,at close of business on nta per unit,dollars,1.1,1,holdout,02903130
GCI,2025-01,governor macquarie tower farrer place sydney nsw p,dollars,2.002,2,learn,02902777
GCI,2025-01,macquarie tower farrer place sydney nsw p f,dollars,2.002,2,learn,02902777
PCX,2025-01,visit our website pengana com pcx client service t,dollars,2.0002,3,learn,02902884
PCX,2025-01,net asset value,cents,2.0002,3,learn,02902884
PCX,2025-01,nav as at cents per unit nav,cents,2.0002,3,learn,02902884
PCI,2025-01,at close of business on nta per unit,dollars,1.1,1,holdout,02902754
PCI,2025-01,at close of business on nta per unit,dollars,1.1,1,holdout,02902004
PIC,2024-12,was nta per ordinary share nta before tax,dollars,1.273,2,learn,02900216
PIC,2024-12,nta before tax,dollars,1.273,2,learn,02900216
HM1,2024-12,pre tax nta post current tax nta,dollars,3.73,1,learn,02896144
MXT,2024-12,is as follows value date nta per unit,dollars,2.001,1,learn,02894576
SNC,2024-12,investments limited nta before tax nta after tax,dollars,0.9186,1,learn,02894473
MOT,2024-12,is as follows value date nta per unit,dollars,2.1444,1,learn,02894090
PCX,2024-12,visit our website pengana com pcx client service t,dollars,2.0031,3,learn,02893875
PCX,2024-12,net asset value,cents,2.0031,3,learn,02893875
PCX,2024-12,nav as at cents per unit nav,cents,2.0031,3,learn,02893875
GCI,2024-12,on nta per unit as at,dollars,2.01,1,learn,02893454
HM1,2024-12,pre tax nta post current tax nta,dollars,3.73,1,learn,02893164
PCI,2024-12,at close of business on nta per unit,dollars,1.099,1,holdout,02892756
TCF,2024-12,sector unit price unit nav commercial unit price,dollars,5.941,2,learn,02892749
TCF,2024-12,price unit nav commercial unit price unit nav,dollars,5.941,2,learn,02892749
TCF,2024-12,as follows value date nav per unit,dollars,5.941,1,learn,02891561
KKC,2024-12,end of day us time current nta estimate,dollars,2.4716,4,learn,02890933
KKC,2024-12,time current nta estimate previous nta estimate,dollars,2.4716,4,learn,02890933
KKC,2024-12,current nta estimate,dollars,2.4716,4,learn,02890933
KKC,2024-12,previous nta estimate,dollars,2.4716,4,learn,02890933
MXT,2024-12,limited level exchange centre bridge street sydney nsw,dollars,2.001,2,learn,02890417
MXT,2024-12,is as follows value date nta per unit,dollars,2.001,2,learn,02890417
GCI,2024-11,on nta per unit as at,dollars,2.022,1,learn,02889505
GCI,2024-11,on nta per unit as at,dollars,2.022,1,learn,02887864
CAM,2024-11,nta before tax,dollars,0.79,3,holdout,02886495
CAM,2024-11,pre tax unaudited nta as at was,dollars,0.79,3,holdout,02886495
CAM,2024-11,for the week ended nta before tax,dollars,0.79,3,holdout,02886495
SEC,2024-11,at estimated nta per share pre tax nta,dollars,2.394,1,holdout,02880946
SEC,2024-11,at estimated nta per share pre tax nta,dollars,2.394,1,holdout,02879955
FPC,2024-11,fund as at th amount pre tax nta,dollars,1.291,1,learn,02879775
PCI,2024-11,at close of business on nta per unit,dollars,1.099,1,holdout,02878725
PCI,2024-11,at close of business on nta per unit,dollars,1.099,1,holdout,02878260
PCI,2024-11,at close of business on nta per unit,dollars,1.099,1,holdout,02877822
MFF,2024-10,monthly nta per share as at was,dollars,4.55,1,learn,02877326
OPH,2024-10,prior value date nav per unit month end,dollars,3.1825,1,learn,02876921
MEC,2024-10,noted below dollars per share estimated nta pre tax,dollars,1.1514,1,learn,02875529
PIC,2024-10,was nta per ordinary share nta before tax,dollars,1.266,2,learn,02873698
PIC,2024-10,nta before tax,dollars,1.266,2,learn,02873698
GCI,2024-10,on nta per unit as at,dollars,2.0117,1,learn,02867110
WHF,2024-10,utilities net asset backing cash whf share price,dollars,6.22,2,holdout,02865955
WHF,2024-10,banking corporation anz anz banking group limited nta,dollars,6.22,2,holdout,02865955
QRI,2024-10,is as follows value date nta per unit,dollars,1.601,1,holdout,02865335
LSF,2024-10,were nta per ordinary share nta before tax,dollars,3.1483,1,learn,02864215
DUI,2024-10,ordinary shares at was per share,dollars,6.03,2,holdout,02864295
DUI,2024-10,the company s ordinary shares at was,dollars,6.03,2,holdout,02864295
PCI,2024-10,at close of business on nta per unit,dollars,1.099,1,holdout,02863735
GCI,2024-09,governor macquarie tower farrer place sydney nsw p,dollars,2.0022,2,learn,02861817
GCI,2024-09,macquarie tower farrer place sydney nsw p f,dollars,2.0022,2,learn,02861817
GCI,2024-09,governor macquarie tower farrer place sydney nsw p,dollars,2.0022,2,learn,02860563
GCI,2024-09,macquarie tower farrer place sydney nsw p f,dollars,2.0022,2,learn,02860563
MIR,2024-09,share as at pre tax nta per share,dollars,3.37,2,learn,02860290
MIR,2024-09,pre tax nta per share,dollars,3.37,2,learn,02860290
GCI,2024-09,governor macquarie tower farrer place sydney nsw p,dollars,2.0022,2,learn,02854939
GCI,2024-09,macquarie tower farrer place sydney nsw p f,dollars,2.0022,2,learn,02854939
GCI,2024-09,governor macquarie tower farrer place sydney nsw p,dollars,2.0022,2,learn,02852918
GCI,2024-09,macquarie tower farrer place sydney nsw p f,dollars,2.0022,2,learn,02852918
GCI,2024-09,and gci s strategic objectives professionals globally sustainable,dollars,2.0022,9,learn,02852547
GCI,2024-09,managed investment funds limited acn afsl cash aaa,dollars,2.0022,9,learn,02852547
GCI,2024-09,mth mth mth yr yr yr incep,dollars,2.0022,9,learn,02852547
GCI,2024-09,fund return reflects compounded movements in the nta,dollars,2.0022,9,learn,02852547
GCI,2024-09,rba cash rate p a unit pricing daily,dollars,2.0022,9,learn,02852547
GCI,2024-09,enquiries boardroomlimited com au investment update page,dollars,2.0022,9,learn,02852547
GCI,2024-09,in arrears as of loans loans m balance,dollars,2.0022,9,learn,02852547
GCI,2024-09,annualised actual distribution for the months to,dollars,2.0022,9,learn,02852547
GCI,2024-09,gcapinvest com asx price nta per unit boardroom,dollars,2.0022,9,learn,02852547
MOT,2024-09,is as follows value date nta per unit,dollars,2.1423,1,learn,02852399
NSC,2024-09,share price of holdings since inception dividend yield,dollars,0.53,1,holdout,02852179
QRI,2024-09,is as follows value date nta per unit,dollars,1.6006,1,holdout,02849169
AMH,2024-09,after tax ex div cum div,dollars,1.32,1,learn,02849108
MOT,2024-09,is as follows value date nta per unit,dollars,2.1423,1,learn,02848598
PGF,2024-08,nta before tax accruals,dollars,2.1717,2,learn,02848281
PGF,2024-08,share gross dividend yield nta before tax accruals,dollars,2.1717,2,learn,02848281
RG8,2024-08,ordinary share for regal asian investments limited was,dollars,2.27,2,learn,02848229
RG8,2024-08,all applicable fees and charges the nta of,dollars,2.27,2,learn,02848229
OPH,2024-08,prior value date nav per unit month end,dollars,2.9898,1,learn,02848158
LSF,2024-08,were nta per ordinary share nta before tax,dollars,3.094,1,learn,02842437
LSF,2024-08,were nta per ordinary share nta before tax,dollars,3.094,1,learn,02841732
PIC,2024-08,was nta per ordinary share nta before tax,dollars,1.313,2,learn,02841017
PIC,2024-08,nta before tax,dollars,1.313,2,learn,02841017
KKC,2024-08,time current nta estimate previous nta estimate,dollars,2.4481,2,learn,02840769
KKC,2024-08,previous nta estimate,dollars,2.4481,2,learn,02840769
LSF,2024-08,were nta per ordinary share nta before tax,dollars,3.094,1,learn,02840686
MOT,2024-08,is as follows value date nta per unit,dollars,2.1411,1,learn,02838939
MOT,2024-08,is as follows value date nta per unit,dollars,2.1411,1,learn,02838049
KKC,2024-08,end of day us time current nta estimate,dollars,2.4481,2,learn,02837525
KKC,2024-08,current nta estimate,dollars,2.4481,2,learn,02837525
MXT,2024-08,is as follows value date nta per unit,dollars,2.001,1,learn,02836781
LRT,2024-07,unit of the trust as at as,dollars,1.2436,1,learn,02835714
KKC,2024-07,time current nta estimate previous nta estimate,dollars,2.4727,2,learn,02832021
KKC,2024-07,previous nta estimate,dollars,2.4727,2,learn,02832021
BEL,2024-07,bentley capital limited a b n suite level,cents,0.01,3,learn,02828365
BEL,2024-07,limited lel materials other listed securities various various,dollars,0.01,3,learn,02828365
BEL,2024-07,au bentley capital limited a b n suite,cents,0.01,3,learn,02828365
MXT,2024-07,is as follows value date nta per unit,dollars,2.0001,1,learn,02827766
QRI,2024-07,is as follows value date nta per unit,dollars,1.601,1,holdout,02828080
NSC,2024-07,return fy,dollars,0.63,1,holdout,02827602
MOT,2024-07,is as follows value date nta per unit,dollars,2.1409,1,learn,02827057
PCX,2024-07,visit our website pengana com pcx client service t,dollars,2.0014,3,learn,02825806
PCX,2024-07,net asset value,cents,2.0014,3,learn,02825806
PCX,2024-07,nav as at cents per unit nav,cents,2.0014,3,learn,02825806
CDO,2024-07,for more information contact cadence opportunities fund on,dollars,1.997,1,learn,02825501
MOT,2024-07,is as follows value date nta per unit,dollars,2.1409,1,learn,02824842
QRI,2024-07,is as follows value date nta per unit,dollars,1.601,1,holdout,02825086
