Fund,Sector,Country,Percent,Date,SEDOL
Scottish American,Global Growth & Income,Germany,1,30/06/2010,787369
Scottish American,Global Growth & Income,Netherlands,1,30/06/2010,787369
Scottish American,Global Growth & Income,Portugal,1,30/06/2010,787369
Scottish American,Global Growth & Income,Sweden,2,30/06/2010,787369
Scottish American,Global Growth & Income,Switzerland,2,30/06/2010,787369
Scottish American,Global Growth & Income,UK,39,30/06/2010,787369
Scottish American,Global Growth & Income,China,4,30/06/2010,787369
Scottish American,Global Growth & Income,Hong Kong,1,30/06/2010,787369
Scottish American,Global Growth & Income,Japan,2,30/06/2010,787369
Scottish American,Global Growth & Income,Singapore,2,30/06/2010,787369
Scottish American,Global Growth & Income,South Korea,1,30/06/2010,787369
Scottish American,Global Growth & Income,Taiwan,2,30/06/2010,787369
Scottish American,Global Growth & Income,Brazil,3,30/06/2010,787369
Scottish American,Global Growth & Income,Mexico,1,30/06/2010,787369
Scottish American,Global Growth & Income,Israel,1,30/06/2010,787369
Scottish American,Global Growth & Income,Canada,2,30/06/2010,787369
Scottish American,Global Growth & Income,USA,14,30/06/2010,787369
Scottish American,Global Growth & Income,Cash/Cash Equiv.,1,30/06/2010,787369
Scottish American,Global Growth & Income,Fixed Interest,15,30/06/2010,787369
Scottish Investment Trust,Global Growth,South Africa,2,30/06/2010,782609
Scottish Investment Trust,Global Growth,Turkey,1,30/06/2010,782609
Scottish Investment Trust,Global Growth,Finland,1,30/06/2010,782609
Scottish Investment Trust,Global Growth,France,1,30/06/2010,782609
Scottish Investment Trust,Global Growth,Germany,3,30/06/2010,782609
Scottish Investment Trust,Global Growth,Sweden,3,30/06/2010,782609
Scottish Investment Trust,Global Growth,Switzerland,2,30/06/2010,782609
Scottish Investment Trust,Global Growth,UK,17,30/06/2010,782609
Scottish Investment Trust,Global Growth,Australia,1,30/06/2010,782609
Scottish Investment Trust,Global Growth,China,1,30/06/2010,782609
Scottish Investment Trust,Global Growth,Hong Kong,7,30/06/2010,782609
Scottish Investment Trust,Global Growth,Japan,5,30/06/2010,782609
Scottish Investment Trust,Global Growth,Malaysia,2,30/06/2010,782609
Scottish Investment Trust,Global Growth,Singapore,2,30/06/2010,782609
Scottish Investment Trust,Global Growth,South Korea,3,30/06/2010,782609
Scottish Investment Trust,Global Growth,Taiwan,2,30/06/2010,782609
Scottish Investment Trust,Global Growth,Brazil,6,30/06/2010,782609
Scottish Investment Trust,Global Growth,Mexico,2,30/06/2010,782609
Scottish Investment Trust,Global Growth,Canada,1,30/06/2010,782609
Scottish Investment Trust,Global Growth,USA,27,30/06/2010,782609
Scottish Investment Trust,Global Growth,Cash/Cash Equiv.,10,30/06/2010,782609
Scottish Investment Trust,Global Growth,Fixed Interest,1,30/06/2010,782609
Scottish Mortgage,Global Growth,South Africa,1,30/06/2010,783884
Scottish Mortgage,Global Growth,India,2,30/06/2010,783884
Scottish Mortgage,Global Growth,Poland,3,30/06/2010,783884
Scottish Mortgage,Global Growth,Russia,1,30/06/2010,783884
Scottish Mortgage,Global Growth,Turkey,1,30/06/2010,783884
Scottish Mortgage,Global Growth,Denmark,2,30/06/2010,783884
Scottish Mortgage,Global Growth,France,3,30/06/2010,783884
Scottish Mortgage,Global Growth,Germany,2,30/06/2010,783884
Scottish Mortgage,Global Growth,Spain,4,30/06/2010,783884
Scottish Mortgage,Global Growth,Sweden,5,30/06/2010,783884
Scottish Mortgage,Global Growth,Switzerland,1,30/06/2010,783884
Scottish Mortgage,Global Growth,UK,12,30/06/2010,783884
Scottish Mortgage,Global Growth,Australia,1,30/06/2010,783884
Scottish Mortgage,Global Growth,China,11,30/06/2010,783884
Scottish Mortgage,Global Growth,Indonesia,1,30/06/2010,783884
Scottish Mortgage,Global Growth,Japan,4,30/06/2010,783884
Scottish Mortgage,Global Growth,Singapore,1,30/06/2010,783884
Scottish Mortgage,Global Growth,South Korea,1,30/06/2010,783884
Scottish Mortgage,Global Growth,Taiwan,2,30/06/2010,783884
Scottish Mortgage,Global Growth,Brazil,7,30/06/2010,783884
Scottish Mortgage,Global Growth,USA,28,30/06/2010,783884
Scottish Mortgage,Global Growth,Cash/Cash Equiv.,1,30/06/2010,783884
Scottish Mortgage,Global Growth,Fixed Interest,6,30/06/2010,783884
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,India,2,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Sri Lanka,3,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,China,11,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Hong Kong,11,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Indonesia,7,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Malaysia,8,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Philippines,6,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Singapore,12,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,South Korea,10,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Taiwan,11,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Thailand,12,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Vietnam,1,30/06/2010,783613
Scottish Oriental Smaller Companies,Asia Pacific - Excluding Japan,Cash/Cash Equiv.,6,30/06/2010,783613
Securities Trust of Scotland,UK Growth & Income,UK,97,30/06/2010,B09G3N2
Securities Trust of Scotland,UK Growth & Income,Cash/Cash Equiv.,0,30/06/2010,B09G3N2
Securities Trust of Scotland,UK Growth & Income,Fixed Interest,3,30/06/2010,B09G3N2
Shires Income,UK Growth & Income,UK,63,30/06/2010,805250
Shires Income,UK Growth & Income,USA,1,30/06/2010,805250
Shires Income,UK Growth & Income,Cash/Cash Equiv.,4,30/06/2010,805250
Shires Income,UK Growth & Income,Fixed Interest,32,30/06/2010,805250
Shires Smaller Companies,UK High Income,UK,68,30/06/2010,806372
Shires Smaller Companies,UK High Income,Cash/Cash Equiv.,8,30/06/2010,806372
Shires Smaller Companies,UK High Income,Fixed Interest,24,30/06/2010,806372
Signet Global Fixed Income Strategies,Hedge Funds,Not reported,,,
Sirius Real Estate (AIM),Property Direct - Europe,Not reported,,,
Small Companies Dividend,UK High Income,UK,100,30/06/2010,661582
SPARK VCT,VCT Specialist: Technology,Not reported,,,
SR Europe,Europe,Belgium,1,30/06/2010,3066894
SR Europe,Europe,Denmark,1,30/06/2010,3066894
SR Europe,Europe,Finland,2,30/06/2010,3066894
SR Europe,Europe,France,5,30/06/2010,3066894
SR Europe,Europe,Germany,21,30/06/2010,3066894
SR Europe,Europe,Netherlands,5,30/06/2010,3066894
SR Europe,Europe,Norway,7,30/06/2010,3066894
SR Europe,Europe,Spain,1,30/06/2010,3066894
SR Europe,Europe,Switzerland,8,30/06/2010,3066894
SR Europe,Europe,UK,24,30/06/2010,3066894
SR Europe,Europe,Cash/Cash Equiv.,18,30/06/2010,3066894
SR Europe,Europe,Fixed Interest,7,30/06/2010,3066894
Standard Life Equity Income,UK Growth & Income,UK,100,30/06/2010,603959
Standard Life European Private Equity,Private Equity,Not reported,,,
Standard Life Investments Property Income,Property Direct - UK,Not reported,,,
Standard Life UK Smaller Companies,UK Smaller Companies,Ireland,5,30/06/2010,295958
Standard Life UK Smaller Companies,UK Smaller Companies,UK,94,30/06/2010,295958
Standard Life UK Smaller Companies,UK Smaller Companies,Cash/Cash Equiv.,1,30/06/2010,295958
Strategic Equity Capital,UK Growth,European Developed,3,30/06/2010,B0BDCB2
Strategic Equity Capital,UK Growth,UK,94,30/06/2010,B0BDCB2
Strategic Equity Capital,UK Growth,Cash/Cash Equiv.,3,30/06/2010,B0BDCB2
SVM UK Active,UK Growth,Not reported,,,
Tamar European Industrial,Property Direct - Europe,Not reported,,,
Temple Bar,UK Growth & Income,Ireland,3,30/06/2010,882532
Temple Bar,UK Growth & Income,UK,79,30/06/2010,882532
Temple Bar,UK Growth & Income,USA,8,30/06/2010,882532
Temple Bar,UK Growth & Income,Cash/Cash Equiv.,1,30/06/2010,882532
Temple Bar,UK Growth & Income,Fixed Interest,9,30/06/2010,882532
Templeton Emerging Markets,Global Emerging Markets,South Africa,3,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,India,14,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Pakistan,2,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Hungary,1,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Poland,2,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Russia,6,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Turkey,7,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Austria,1,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,China,21,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Indonesia,8,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,South Korea,5,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Thailand,9,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Brazil,19,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Mexico,2,30/06/2010,882929
Templeton Emerging Markets,Global Emerging Markets,Cash/Cash Equiv.,0,30/06/2010,882929
Throgmorton Trust,UK Smaller Companies,UK,101,30/06/2010,891055
Throgmorton Trust,UK Smaller Companies,Cash/Cash Equiv.,-1,30/06/2010,891055
TR European Growth,European Smaller Companies,Kazakhstan,2,30/06/2010,906692
TR European Growth,European Smaller Companies,European Emerging,2,30/06/2010,906692
TR European Growth,European Smaller Companies,Romania,1,30/06/2010,906692
TR European Growth,European Smaller Companies,Turkey,4,30/06/2010,906692
TR European Growth,European Smaller Companies,Ukraine,1,30/06/2010,906692
TR European Growth,European Smaller Companies,Austria,4,30/06/2010,906692
TR European Growth,European Smaller Companies,Belgium,1,30/06/2010,906692
TR European Growth,European Smaller Companies,Finland,1,30/06/2010,906692
TR European Growth,European Smaller Companies,France,18,30/06/2010,906692
TR European Growth,European Smaller Companies,Germany,23,30/06/2010,906692
TR European Growth,European Smaller Companies,Greece,1,30/06/2010,906692
TR European Growth,European Smaller Companies,Ireland,1,30/06/2010,906692
TR European Growth,European Smaller Companies,Italy,4,30/06/2010,906692
TR European Growth,European Smaller Companies,Luxembourg,3,30/06/2010,906692
TR European Growth,European Smaller Companies,Netherlands,6,30/06/2010,906692
TR European Growth,European Smaller Companies,Norway,4,30/06/2010,906692
TR European Growth,European Smaller Companies,Spain,7,30/06/2010,906692
TR European Growth,European Smaller Companies,Sweden,1,30/06/2010,906692
TR European Growth,European Smaller Companies,Switzerland,11,30/06/2010,906692
TR European Growth,European Smaller Companies,UK,1,30/06/2010,906692
TR European Growth,European Smaller Companies,Cash/Cash Equiv.,4,30/06/2010,906692
TR Property,Property Securities,Austria,2,30/06/2010,906409
TR Property,Property Securities,Belgium,1,30/06/2010,906409
TR Property,Property Securities,Finland,1,30/06/2010,906409
TR Property,Property Securities,France,28,30/06/2010,906409
TR Property,Property Securities,Germany,1,30/06/2010,906409
TR Property,Property Securities,Italy,1,30/06/2010,906409
TR Property,Property Securities,Luxembourg,1,30/06/2010,906409
TR Property,Property Securities,Netherlands,9,30/06/2010,906409
TR Property,Property Securities,Norway,1,30/06/2010,906409
TR Property,Property Securities,Sweden,6,30/06/2010,906409
TR Property,Property Securities,Switzerland,4,30/06/2010,906409
TR Property,Property Securities,UK,43,30/06/2010,906409
TR Property,Property Securities,Cash/Cash Equiv.,1,30/06/2010,906409
TR Property,Property Securities,Fixed Interest,1,30/06/2010,906409
TR Property Sigma,Property Securities,Austria,6,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Belgium,2,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Finland,4,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,France,11,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Germany,6,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Italy,2,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Luxembourg,2,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Netherlands,13,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Norway,2,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Sweden,15,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,UK,35,30/06/2010,B1YW2J1
TR Property Sigma,Property Securities,Cash/Cash Equiv.,2,30/06/2010,B1YW2J1
Troy Income & Growth,UK Growth & Income,Switzerland,2,30/06/2010,370866
Troy Income & Growth,UK Growth & Income,UK,87,30/06/2010,370866
Troy Income & Growth,UK Growth & Income,USA,5,30/06/2010,370866
Troy Income & Growth,UK Growth & Income,Cash/Cash Equiv.,1,30/06/2010,370866
Troy Income & Growth,UK Growth & Income,Fixed Interest,5,30/06/2010,370866
UK Commercial Property,Property Direct - UK,Not reported,,,
UK Select Trust,UK Growth,UK,100,30/06/2010,461823
Ukraine Opportunity,Country Specialists: Europe,Not reported,,,
Unicorn AIM VCT,VCT AIM Quoted,UK,96,30/06/2010,B1RTFN4
Unicorn AIM VCT,VCT AIM Quoted,Cash/Cash Equiv.,4,30/06/2010,B1RTFN4
Utilico,Split Capital Trust,UK,40,30/06/2010,B1XHSF5
Utilico,Split Capital Trust,Australia,21,30/06/2010,B1XHSF5
Utilico,Split Capital Trust,New Zealand,28,30/06/2010,B1XHSF5
Utilico,Split Capital Trust,USA,4,30/06/2010,B1XHSF5
Utilico,Split Capital Trust,Bermuda,6,30/06/2010,B1XHSF5
Utilico,Split Capital Trust,Cash/Cash Equiv.,1,30/06/2010,B1XHSF5
Utilico Emerging Markets (AIM),Global Emerging Markets,Lithuania,1,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,UK,15,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Hong Kong,17,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Indonesia,1,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Malaysia,23,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Philippines,9,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Thailand,7,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Brazil,7,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Chile,1,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Other Middle East,1,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,USA,19,30/06/2010,B0DQY35
Utilico Emerging Markets (AIM),Global Emerging Markets,Cash/Cash Equiv.,-1,30/06/2010,B0DQY35
Value and Income,UK Growth & Income,UK,100,30/06/2010,848471
Value and Income,UK Growth & Income,Cash/Cash Equiv.,0,30/06/2010,848471
Ventus 2 VCT,VCT Specialist: Environmental,Not reported,,,
Ventus 2 VCT C shares,VCT Specialist: Environmental Pre Qualifying,Not reported,,,
Ventus VCT,VCT Specialist: Environmental,Not reported,,,
Ventus VCT C shares,VCT Specialist: Environmental Pre Qualifying,Not reported,,,
VinaCapital Vietnam Opportunity (AIM),Country Specialists: Asia Pacific,Not reported,,,
Vinaland (AIM),Property Specialist,Not reported,,,
Witan,Global Growth,South Africa,1,30/06/2010,974406
Witan,Global Growth,France,6,30/06/2010,974406
Witan,Global Growth,Germany,3,30/06/2010,974406
Witan,Global Growth,Ireland,1,30/06/2010,974406
Witan,Global Growth,Italy,2,30/06/2010,974406
Witan,Global Growth,Netherlands,2,30/06/2010,974406
Witan,Global Growth,Spain,2,30/06/2010,974406
Witan,Global Growth,Switzerland,3,30/06/2010,974406
Witan,Global Growth,UK,36,30/06/2010,974406
Witan,Global Growth,Australia,2,30/06/2010,974406
Witan,Global Growth,China,1,30/06/2010,974406
Witan,Global Growth,Hong Kong,2,30/06/2010,974406
Witan,Global Growth,Indonesia,1,30/06/2010,974406
Witan,Global Growth,Japan,9,30/06/2010,974406
Witan,Global Growth,Singapore,1,30/06/2010,974406
Witan,Global Growth,South Korea,1,30/06/2010,974406
Witan,Global Growth,Taiwan,1,30/06/2010,974406
Witan,Global Growth,Mexico,1,30/06/2010,974406
Witan,Global Growth,Canada,1,30/06/2010,974406
Witan,Global Growth,USA,21,30/06/2010,974406
Witan,Global Growth,Cash/Cash Equiv.,3,30/06/2010,974406
Witan Pacific,Asia Pacific - Including Japan,India,7,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Australia,11,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,China,8,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Hong Kong,10,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Indonesia,3,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Japan,30,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Malaysia,3,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Philippines,1,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Singapore,10,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,South Korea,7,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Taiwan,5,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Thailand,3,30/06/2010,365602
Witan Pacific,Asia Pacific - Including Japan,Cash/Cash Equiv.,2,30/06/2010,365602
World Trust Fund,Global Growth,Not reported,,,
