AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Asia Pacific - Excluding Japan,Pacific Assets,Ordinary Share,30/06/2010,667438,143489964,0,0,0,0,0,0,0,0,110.5,331648,,,118348386,0,0,0,N/A,4,100,96,N,100,143489964,143158316,120.96,,,,,121.24,,,,,120.96,,,,,121.24,,,,,2,4,0,21,5,19,15,14,22,0,0,0,0,0,0,0,0,0,1,0,0,4,95,21,5,19,15,14,26,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,143158316,,,
Asia Pacific - Excluding Japan,Pacific Horizon,Ordinary Share,30/06/2010,666747,125546153,0,0,0,0,0,0,0,0,146,839585,,,78287002,0,0,0,N/A,1,100,99,N,100,125546153,124706568,159.29,,,,,160.37,,,,,159.29,,,,,160.37,,,,,2,1,0,16,10,14,11,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,124706568,,,
Asia Pacific - Excluding Japan,Schroder AsiaPacific,Ordinary Share,30/06/2010,791887,350829567,6684045,6684045,6684045,6684045,0,0,0,6684045,187,1779621,,,167489612,0,0,0,N/A,2,102,100,N,100,344145522,342365901,204.41,202.2,,,,205.47,203.08,,,,204.41,202.2,,,,205.47,203.08,,,,2.4,2,0,22,14,14,17,9,22,0,0,0,0,0,0,0,0,44,6,0,20,3,27,23,14,14,18,9,22,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,349049946,,Par and fair value are not materially different.,
Asia Pacific - Excluding Japan,Schroder Oriental Income,Ordinary Share,30/06/2010,B0CRWN5,223959398,21723147,21723147,21723147,21723147,0,0,0,21723147,128.75,2164535,,,158259500,200000,0,0,N/A,0,111,111,N,100,202236251,200071716,126.42,,,,,127.79,,,,,126.42,,,,,127.79,,,,,5,0,0,17,18,4,15,8,38,0,0,0,0,0,0,0,0,12,0,0,127,0,-39,17,18,4,16,8,37,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,221794863,,,"28/6.  200,000 shs issued @ 130.50p.  Total £261,000"
Asia Pacific - Excluding Japan,Scottish Oriental Smaller Companies,Ordinary Share,30/06/2010,783613,157012727,0,0,0,0,0,0,0,0,448.5,2100615,,,30213650,0,0,0,N/A,6,100,94,N,100,157012727,154912112,512.72,,,,,519.67,,,,,512.72,,,,,519.67,,,,,2.8,6,0,11,12,10,11,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,10,11,11,45,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,154912112,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Asia Pacific - Including Japan,Aberdeen All Asia,Ordinary Share,30/06/2010,392075,49957012,2357790,2357790,2357790,2357790,0,0,0,2357790,254.75,262360,,,15492367,0,0,0,N/A,-2,105,107,N,100,47599222,47336862,305.55,,,,,307.24,,,,,305.55,,,,,307.24,,,,,2.75,-2,0,22,15,6,4,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,49694652,,,
Asia Pacific - Including Japan,Martin Currie Pacific,Ordinary Share,30/06/2010,569512,124582399,3000000,3000000,3000000,3000000,0,0,0,3000000,243.5,795347,,,42662190,0,0,1291694,No,1,102,101,N,100,121582399,120787052,283.12,,,,283.12,284.99,,,,284.99,283.12,,,,283.12,284.99,,,,284.99,,1,0,30,8,11,5,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,123787052,,,
Asia Pacific - Including Japan,Witan Pacific,Ordinary Share,30/06/2010,365602,148706385,5900000,5900000,5900000,5900000,0,0,0,5900000,176,1177385,,,66273868,0,0,0,N/A,2,104,102,N,100,142806385,141629000,213.7,,,,,215.48,,,,,213.7,,,,,215.48,,,,,,2,0,30,10,7,5,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,147529000,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Country Specialists: Asia Pacific,Aberdeen New Thai,Ordinary Share,30/06/2010,5997,50541351,2000000,2000000,2000000,2000000,0,0,0,2000000,210.5,1181939,,,17853305,628,0,0,N/A,-2,104,106,N,100,48541351,47359412,265.27,254.37,,,,271.89,259.89,,,,265.27,254.37,,,,271.89,259.89,,,,,-2,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,49359412,,,01/06/10 - 628 SHARES CONVERTED FROM SUB SHARES
Country Specialists: Asia Pacific,Fidelity China Special Situations,Ordinary Share,30/06/2010,B62Z3C7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Specialists: Asia Pacific,India Capital Growth (AIM),Ordinary Share,30/06/2010,B0P8RJ6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Specialists: Asia Pacific,JPMorgan Chinese,Ordinary Share,30/06/2010,343501,114100227,2539937,2539937,2539937,2539937,0,0,0,2539937,135.5,209536,,,77299960,0,0,0,No,2,102,100,N,100,111560290,111350754,144.05,,,,,144.32,,,,,144.05,,,,,144.32,,,,,2.15,2,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,113890691,,,
Country Specialists: Asia Pacific,JPMorgan Indian,Ordinary Share,30/06/2010,345035,535817327,0,0,0,0,0,0,0,0,402,-3112059,,,113577552,62133,0,1979788,No,4,100,96,Y,100,535817327,538929386,,,,,,471.76,452.88,,,452.88,,,,,,471.76,452.88,,,452.88,0.94,4,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,538929386,,,
Country Specialists: Asia Pacific,New India,Ordinary Share,30/06/2010,604877,131867767,0,0,0,0,0,0,0,0,221.25,-11993,,,46954143,0,0,0,N/A,1,100,99,Y,100,131867767,131879760,,,,,,280.84,243.75,,,,,,,,,280.84,243.75,,,,1.52,1,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,131879760,,,
Country Specialists: Asia Pacific,VinaCapital Vietnam Opportunity (AIM),Ordinary Share,30/06/2010,3351642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Country Specialists: Europe,Gartmore Irish Growth,Ordinary Share,30/06/2010,615200,46834495,0,0,0,0,0,0,0,0,592.5,457482,,,6706409,0,394892,0,No,15,100,85,N,100,46834495,46377013,691.53,,,,,698.35,,,,,691.53,,,,,698.35,,,,,0,15,0,10,75,0,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0,0,1,1,98,0,0,0,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,46377013,"The company has no financial gearing. However, it is exposed to the market through the use of Contracts for Difference (CFDs)of £4.8m, which equates to gearing of 110.",,"During June 2010 a total of 394,892 shares were bought back for cancellation for a total of 2.452m."
Country Specialists: Europe,JPMorgan Russian Securities,Ordinary Share,30/06/2010,3216473,315602076,0,0,0,0,0,0,0,0,520.5,659570,,,55284312,0,0,0,N/A,0,100,100,Y,100,315602076,314942506,,,,,,570.87,,,,,,,,,,570.87,,,,,1.71,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,314942506,,,
Country Specialists: Europe,Ukraine Opportunity,Ordinary Share,30/06/2010,B0HW611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,France ,Germany ,Nether lands,Switzer land,Other , , , , , , , , ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Europe,BlackRock Greater Europe,Ordinary Share,30/06/2010,B01RDH7,181094570,15295492,15295492,15295492,15295492,0,0,0,15295492,153.5,3081608,,,99042423,0,2642046,2642046,Yes,1,109,108,N,100,165799078,162717470,164.29,,,,164.01,167.4,,,,167.04,164.29,,,,164.01,167.4,,,,167.04,2.37,1,0,0,16,11,7,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,178012962,,,"During the month 2,642,046 shares were bought back and held in treasury for a total amount of £4,487,074"
Europe,Charter European,Ordinary Share,30/06/2010,3148639,55536289,2736711,2736711,2736711,2736711,0,0,0,2736711,202.25,795548,,,22962917,0,110000,2480000,Yes,7,105,98,N,100,52799578,52004030,226.47,,,,224.11,229.93,,,,227.24,226.47,,,,224.11,229.93,,,,227.24,2.26,7,0,13,21,11,7,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,54740741,,,"1)18/06/10 54,000 shares cancelled at 206.25p each for £0.111M. 2) 25/06/10 56,000 shares cancelled at 208.15p each for £0.117M"
Europe,European Investment Trust,Ordinary Share,30/06/2010,329501,242431605,0,0,0,0,0,0,0,0,478,4724180,,,42700748,0,0,0,N/A,2,100,98,N,100,242431605,237707425,556.68,,,,,567.75,,,,,556.68,,,,,567.75,,,,,3.16,2,0,3,17,13,13,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,237707425,,,
Europe,Fidelity European Values,Ordinary Share,30/06/2010,337582,619362428,53463533,55977816,53463533,55977816,0,0,0,53463533,933,8930810,,,49899656,0,50000,0,N/A,14,109,94,N,100,565898895,556968085,1116.18,,,,,1134.07,,,,,1111.14,,,,,1129.04,,,,,,14,0,2,19,24,9,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,610431618,,,"During the month 50,000 shares were repurchased by the company for cancellation at an average price of 945.37 pence for a total consideration of £472,689.49."
Europe,Gartmore European,Ordinary Share,30/06/2010,526885,136965306,3274904,3274904,3274904,3274904,0,0,0,3274904,525.5,3775742,,,23391851,0,406385,2312298,Yes,4,102,98,N,100,133690402,129914660,555.38,,,,552.7,571.53,,,,567.39,555.38,,,,552.7,571.53,,,,567.39,3.8,4,0,0,23,19,10,19,25,0,0,0,0,0,0,0,0,200,0,0,0,0,-100,0,23,19,10,19,29,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,133189564,,,"04/06/10 79,317 shares bought for £0.42259304M
18/06/10 98,275 shares bought for £0.53917596M
25/06/10 228,793 shares bought for £1.27247803M
"
Europe,Henderson EuroTrust,Ordinary Share,30/06/2010,419929,110154000,0,0,0,0,0,0,0,0,460,1811000,,,20876925,0,40000,2082638,N/A,0,100,100,N,100,110154000,108343000,518.96,,,,513.61,527.64,,,,521.5,518.96,,,,513.61,527.64,,,,521.5,2.7,0,0,0,21,32,9,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,108343000,,"Because loans are all short term, fair value is taken as par.","7 June: 20,000 shares bought at £4.40 each (£88,000)and held in treasury
10 June:11,500 shares bought at £4.48 each (£52,000)and held in treasury
22 June: 8,500 shares bought at £4.70 each (£40,000)and cancelled"
Europe,JPMorgan European Growth,Ordinary Share,30/06/2010,B18JK16,270770555,66083087,66083087,66083087,66083087,0,0,0,66083087,148.25,4125049,,,115353527,0,1169708,0,No,21,132,105,N,100,204687468,200562419,173.87,,,,,177.44,,,,,173.87,,,,,177.44,,,,,2.5,21,0,0,16,15,5,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,266645506,,,
Europe,JPMorgan European Income,Ordinary Share,30/06/2010,B17XWW4,65950854,15593272,15593272,15593272,15593272,0,0,0,15593272,80.5,1182598,,,55486760,0,425105,0,No,21,131,103,N,100,50357582,49174984,88.62,,,,,90.76,,,,,88.62,,,,,90.76,,,,,3.55,21,0,30,8,5,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,64768256,,,
Europe,Jupiter European Opportunities,Ordinary Share,30/06/2010,19772,208190778,27000000,27000000,27000000,27000000,0,0,0,27000000,198,1926620,,,79819523,0,0,0,N/A,3,115,111,N,100,181190778,179264158,224.59,,,,,227,,,,,224.59,,,,,227,,,,,2.32,3,0,25,15,11,10,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,206264158,,,
